name,code,rank,industry
녹십자홀딩스,005250,188,제약
태광산업,003240,189,화학
세방전지,004490,190,자동차부품
대상,001680,191,식품
신세계인터내셔날,031430,192,"섬유,의류,신발,호화품"
케이카,381970,193,전문소매
한세실업,105630,194,"섬유,의류,신발,호화품"
보령,003850,195,제약
한섬,020000,196,"섬유,의류,신발,호화품"
쿠쿠홈시스,284740,197,가정용기기와용품
현대홈쇼핑,057050,198,인터넷과카탈로그소매
지누스,013890,199,가구
화승엔터프라이즈,241590,200,"섬유,의류,신발,호화품"
