name,code,rank,industry,sort
SK케미칼,285130,152,화학,SK
한올바이오파마,9420,153,제약,대웅
코오롱인더,120110,154,화학,코오롱
DGB금융지주,139130,155,은행,
현대백화점,69960,156,백화점과일반상점,현대백화점
GKL,114090,157,"호텔,레스토랑,레저",
LX인터내셔널,1120,158,무역회사와판매업체,엘엑스
동원시스템즈,14820,159,포장재,동원
명신산업,9900,160,자동차부품,엠에스오토텍
한국앤컴퍼니,240,161,자동차부품,한국타이어
아이에스동서,10780,162,건설,아이에스지주
풍산,103140,163,비철금속,풍산
일진하이솔루스,271940,164,자동차부품,일진
종근당,185750,165,제약,종근당
SK네트웍스,1740,166,복합기업,SK
동국제강,1230,167,철강,동국제강
한샘,9240,168,가구,하나투어
롯데웰푸드,280360,169,식품,롯데
영풍,670,170,핸드셋,영풍
PI첨단소재,178920,171,화학,
DL,210,172,화학,DL
코스맥스,192820,173,화장품,코스맥스비티아이
오리온홀딩스,1800,174,식품,오리온홀딩스
TKG휴켐스,69260,175,화학,티케이지태광
아시아나항공,20560,176,항공사,금호아시아나
신풍제약,19170,177,제약,
KG스틸,16380,178,철강,KG
한일시멘트,300720,179,건축자재,한일홀딩스
한국콜마,161890,180,화장품,한국콜마홀딩스
대한유화,6650,181,화학,
대웅,3090,182,제약,대웅
삼양식품,3230,183,식품,
하나투어,39130,184,"호텔,레스토랑,레저",하나투어
HDC현대산업개발,294870,185,건설,HDC
롯데관광개발,32350,186,"호텔,레스토랑,레저",
더블유게임즈,192080,187,게임엔터테인먼트,더블유게임즈
녹십자홀딩스,5250,188,제약,녹십자
태광산업,3240,189,화학,태광
세방전지,4490,190,자동차부품,세방
대상,1680,191,식품,대상
신세계인터내셔날,31430,192,"섬유,의류,신발,호화품",신세계
케이카,381970,193,전문소매,
한세실업,105630,194,"섬유,의류,신발,호화품",한세예스24홀딩스
보령,3850,195,제약,보령
한섬,20000,196,"섬유,의류,신발,호화품",현대백화점
쿠쿠홈시스,284740,197,가정용기기와용품,쿠쿠홀딩스
현대홈쇼핑,57050,198,인터넷과카탈로그소매,현대백화점
지누스,13890,199,가구,현대백화점
화승엔터프라이즈,241590,200,"섬유,의류,신발,호화품",화승
